question,answer,expected_answer,similarity_score
Quelle est la durée du congé paternité pour les employés masculins ?,Les employés masculins ont droit à 4 semaines de congé de paternité.,Les employés masculins ont droit à un congé paternité de 4 semaines.,0.993536901243095
Quelle est la mission principale de l'entreprise XXX ?,"La mission de l'entreprise XXX est de fournir des produits et services de haute technologie qui améliorent la performance des véhicules et la sécurité des utilisateurs, tout en valorisant l'innovation, la qualité, la collaboration, la responsabilité, le respect et l'engagement.",La mission de l'entreprise XXX est de fournir des produits et services de haute technologie qui améliorent la performance des véhicules et garantissent la sécurité des utilisateurs.,0.9843901022595841
Quelle est la stratégie de communication mise en place par l'entreprise XXX ?,"L'entreprise XXX favorise une culture de communication ouverte, avec des réunions régulières entre les équipes et la direction, divers canaux de communication et une transparence dans le partage des informations. Elle valorise également les retours constructifs et encourage les employés à participer aux enquêtes et aux sessions de feedback.","L'entreprise XXX favorise une culture de communication ouverte où tous les employés sont encouragés à partager leurs idées, préoccupations et suggestions. Des réunions régulières entre les équipes et la direction ainsi que des canaux de communication diversifiés sont mis en place.",0.9840717964486644
Que permet l'auto-évaluation dans le cadre de l'évaluation annuelle chez l'entreprise XXX ?,"L'auto-évaluation fait partie du processus d'évaluation annuelle de la performance chez l'entreprise XXX et est utilisée pour documenter les réalisations de l'employé, les domaines nécessitant une amélioration et les objectifs pour l'année suivante.","L'auto-évaluation dans le processus d'évaluation annuelle de l'entreprise XXX permet à chaque employé de réfléchir à ses réalisations, ses défis et ses progrès par rapport aux objectifs fixés.",0.970439796701808
Quels moyens sont à disposition des employés pour signaler des comportements inappropriés ?,"Les employés peuvent signaler un comportement inapproprié en utilisant un système de signalement confidentiel en place, et peuvent soumettre leurs préoccupations de manière anonyme à l'aide d'un formulaire remplissable sur l'intranet.","Les employés peuvent signaler des comportements inappropriés en utilisant un formulaire de signalement anonyme disponible sur l'intranet, un email dédié à l'équipe des Ressources Humaines ou un entretien direct avec le responsable RH.",0.9586090367571922
Que comprend le programme d'intégration des nouveaux employés ?,"Le programme d'intégration des nouveaux employés comprend une présentation de l'entreprise et de ses valeurs, une introduction à l'équipe et aux départements, ainsi qu'une formation sur les outils et processus de l'entreprise. Après l'intégration, l'entreprise effectue un suivi avec des réunions régulières pour discuter de la performance et apporter les ajustements nécessaires. L'entreprise accorde une grande importance au développement des employés et offre des opportunités d'apprentissage continu, y compris des programmes de formation et des évaluations.","Le programme d'intégration comprend une présentation de l'entreprise et de ses valeurs, une introduction aux membres de l'équipe et aux différents départements, ainsi qu'une formation sur les outils et les processus utilisés par l'entreprise.",0.9565496170648035
Comment calcule-t-on les jours de congés pour les employés à temps partiel ?,Les jours de congé annuel pour les employés à temps partiel sont calculés au prorata.,Les employés à temps partiel bénéficient d'un calcul au prorata en fonction de leur temps de travail.,0.9545146206128753
Comment la politique de santé et de sécurité est-elle appliquée par l'entreprise XXX ?,"L'entreprise XXX a une politique de santé et de sécurité proactive, et la direction est responsable de la mise en uvre et de l'application de cette politique.",La politique de santé et de sécurité de l'entreprise XXX est proactive et vise à prévenir les accidents et les maladies professionnelles. Elle s'efforce de minimiser les risques grâce à une gestion rigoureuse et une formation adéquate.,0.9500504318118733
Comment l'entreprise XXX protège-t-elle les employés signalant des comportements inappropriés ?,"Selon les politiques de l'entreprise, si un employé signale des comportements inappropriés, il/elle peut s'attendre à ce que l'enquête soit menée de manière confidentielle et à ce qu'il/elle ne subisse aucune forme de représailles.","L'entreprise XXX assure la protection de ses employés qui signalent des comportements inappropriés contre toute forme de représailles. Les signalements seront traités de manière confidentielle dans la mesure du possible. Le suivi des signalements sera effectué avec sérieux et diligence, et des mesures appropriées seront prises en fonction des résultats de l'enquête.",0.9316721112016608
Quels types d'équipements de protection individuelle sont fournis par l'entreprise XXX ?,"La politique RH mentionne que l'entreprise fournit des Équipements de Protection Individuelle (EPI) à tous les employés en fonction de leur environnement de travail, y compris des casques. Cependant, il n'y a pas d'informations spécifiques sur les types d'EPI fournis. L'utilisateur peut contacter son superviseur ou le responsable des ressources humaines pour en savoir plus.","L'entreprise XXX fournit à tous les employés les équipements de protection individuelle (EPI) nécessaires en fonction de leur environnement de travail, tels que des casques de protection, des gants, des lunettes de sécurité et des chaussures de sécurité.",0.9297715156157103
